,Thrombolysis_rate_(%)_(median),Thrombolysis_rate_(%)_(low_5%),Thrombolysis_rate_(%)_(high_95%),Thrombolysis_rate_(%)_(mean),Thrombolysis_rate_(%)_(stdev),Thrombolysis_rate_(%)_(95ci),Thrombectomy_rate_(%)_(median),Thrombectomy_rate_(%)_(low_5%),Thrombectomy_rate_(%)_(high_95%),Thrombectomy_rate_(%)_(mean),Thrombectomy_rate_(%)_(stdev),Thrombectomy_rate_(%)_(95ci),LVO_IVT_mean_shift_(median),LVO_IVT_mean_shift_(low_5%),LVO_IVT_mean_shift_(high_95%),LVO_IVT_mean_shift_(mean),LVO_IVT_mean_shift_(stdev),LVO_IVT_mean_shift_(95ci),LVO_MT_mean_shift_(median),LVO_MT_mean_shift_(low_5%),LVO_MT_mean_shift_(high_95%),LVO_MT_mean_shift_(mean),LVO_MT_mean_shift_(stdev),LVO_MT_mean_shift_(95ci),nLVO_IVT_mean_shift_(median),nLVO_IVT_mean_shift_(low_5%),nLVO_IVT_mean_shift_(high_95%),nLVO_IVT_mean_shift_(mean),nLVO_IVT_mean_shift_(stdev),nLVO_IVT_mean_shift_(95ci),LVO_IVT_mean_added_utility_(median),LVO_IVT_mean_added_utility_(low_5%),LVO_IVT_mean_added_utility_(high_95%),LVO_IVT_mean_added_utility_(mean),LVO_IVT_mean_added_utility_(stdev),LVO_IVT_mean_added_utility_(95ci),LVO_MT_mean_added_utility_(median),LVO_MT_mean_added_utility_(low_5%),LVO_MT_mean_added_utility_(high_95%),LVO_MT_mean_added_utility_(mean),LVO_MT_mean_added_utility_(stdev),LVO_MT_mean_added_utility_(95ci),nLVO_IVT_mean_added_utility_(median),nLVO_IVT_mean_added_utility_(low_5%),nLVO_IVT_mean_added_utility_(high_95%),nLVO_IVT_mean_added_utility_(mean),nLVO_IVT_mean_added_utility_(stdev),nLVO_IVT_mean_added_utility_(95ci),onset_to_needle_mins(mean),onset_to_puncture_mins(mean)
Countess of Chester Hospital,11.842105263157894,9.802631578947368,15.411184210526313,12.171052631578947,1.9675831628208735,1.2194982699624752,1.3157894736842104,0.6578947368421052,2.1874999999999987,1.3486842105263157,0.5686974771881553,0.3524758712453554,-0.10190721296032915,-0.11564999260301909,-0.07817485010785749,-0.0977217371283008,0.014344689684548065,0.00889076740643338,-0.343585395512314,-0.48703599510069606,-0.017617542789976126,-0.28500715735963067,0.1767312418312952,0.10953714574005291,-0.40724909917704943,-0.43266133691253417,-0.34740097244901474,-0.3961775235521682,0.0332893360647186,0.020632565121629698,0.023989217336696976,0.019553922082405514,0.02652923319916346,0.023201018033772038,0.0026694432276125465,0.0016545076514933102,0.07210536234051793,0.009015928097301316,0.09969395887635754,0.060717173535569414,0.03414282089301107,0.021161550778352654,0.07580717399671161,0.06523103217827876,0.08026276828924563,0.07384177057854606,0.005878418171882218,0.0036434143807414637,178.7186781888332,351.66904761904766
Cumberland Infirmary,12.399999999999999,11.173333333333334,15.08,12.746666666666666,1.4155398568813786,0.8773445713241887,0.0,0.0,0.1466666666666664,0.026666666666666665,0.08432740427115677,0.05226570625440143,-0.07380574947148591,-0.09123002369418841,-0.05732314432501629,-0.07482353210946285,0.01260817849954423,0.007814486400426701,0.07195653404657953,0.07195653404657953,0.07195653404657953,0.07195653404657953,,,-0.4032871521228133,-0.4501684336851516,-0.3833150909393467,-0.4117285326679986,0.024612028034446183,0.015254412710690335,0.018762630594811078,0.015638909117047677,0.02195178899537005,0.01892375921134325,0.002355199558928461,0.0014597409867097531,-0.008378094180899687,-0.008378094180899687,-0.008378094180899687,-0.008378094180899687,,,0.07509447270322475,0.0715218987643765,0.08337878947389193,0.07657041025165576,0.004351844042346486,0.002697251318810559,188.99029722473605,468.0
Darent Valley Hospital,10.648148148148149,8.580246913580247,13.88888888888889,11.11111111111111,2.1184424158409465,1.3130000855614927,0.30864197530864196,0.0,0.6172839506172839,0.30864197530864196,0.29099044493273557,0.18035443221740358,-0.1064948382553296,-0.1221317303948324,-0.06852520137199211,-0.10205756857547069,0.01996494907750391,0.012374176258450456,-0.39811210501715333,-0.8681222253474814,0.028087939089504133,-0.42531057562536434,0.36758019584483925,0.22782437935816913,-0.3927027444906555,-0.4096735418356567,-0.344250758215155,-0.38326261695284847,0.02484870960915541,0.015401106774933171,0.024850563553520687,0.017757161291751054,0.027703009234824705,0.023989951432124613,0.0037103939819520585,0.0022996837579066266,0.08106690121495946,0.00014865682809475644,0.17090145165357518,0.08661112713163806,0.07005798292518987,0.04342158979031048,0.07327005372632953,0.06461257794888063,0.07615486603869571,0.07154686266241425,0.00441070052979279,0.0027337302773486755,187.71324883449884,356.4166666666667
Derriford Hospital,10.714285714285714,9.23136645962733,11.420807453416149,10.527950310559005,0.7705090710529352,0.4775576945842115,3.571428571428571,2.0885093167701863,4.20807453416149,3.291925465838509,0.830741310465378,0.5148893373566228,-0.10628468341486844,-0.12681249154947455,-0.08947056017695648,-0.10721637876042416,0.014158834132024095,0.0087755750582528,-0.24576920320671897,-0.4701520025500013,-0.13139533792518043,-0.27251593977900035,0.12548659855946875,0.07777597040795547,-0.4172122148725208,-0.43585267563865515,-0.3563702795463372,-0.40501521791558137,0.03324224595934805,0.020603378908250314,0.024770996747673118,0.021664491032636995,0.02859040163776652,0.024959649361543178,0.0026271357870161546,0.0016282857099821461,0.05281424309588076,0.03076730954751173,0.09539762884658612,0.05785163088240662,0.023914021026635514,0.014821791434735526,0.07757785351781363,0.0666987678147077,0.08077755427140784,0.07533270037142993,0.0059174440794281654,0.0036676024443696165,176.62598954006705,414.88611405261406
Doncaster Royal Infirmary,9.11062906724512,7.35357917570499,10.867678958785248,9.175704989154012,1.3176869890227714,0.816695849928669,0.43383947939262474,0.09761388286334056,0.7700650759219086,0.3904555314533622,0.24626733717897903,0.15263527220240364,-0.11297038245217761,-0.13362745180166605,-0.08317540032258876,-0.1104634401808385,0.018121137445359297,0.011231390968341859,-0.6744560530344588,-0.832791571124937,-0.2745665521475523,-0.6195357325763514,0.20539547709135622,0.1273030963590479,-0.44744276647445724,-0.476118286013739,-0.3905915651538278,-0.44213564708989184,0.032064375376189724,0.019873340572111098,0.025999980429803105,0.020486311566949512,0.02985941736141048,0.025558001681810834,0.003363105688754416,0.0020844361990051963,0.13515241676493628,0.05898005406744986,0.1638674893517834,0.12392568775921971,0.0386597212358218,0.023961103172241524,0.08287137178097556,0.07290647170042792,0.08791539455143131,0.08195224478723766,0.005630734076644741,0.003489901008932428,164.8239611976594,245.34259259259255
Dorset County Hospital,8.288770053475936,6.804812834224599,10.574866310160427,8.422459893048126,1.3821802512719092,0.8566684534878002,0.4010695187165775,0.0,1.096256684491978,0.4545454545454545,0.3995813149992851,0.24765851403828112,-0.10749476519007084,-0.11629632986686476,-0.08832207781967846,-0.10448446821884358,0.01078875969398714,0.006686819663060908,-0.4077489360268436,-0.6952999120152077,0.037980758671517845,-0.3571262483126767,0.32774031449873076,0.20313181881224796,-0.3764966659529049,-0.47166889298626063,-0.3052644404401429,-0.3780690380727075,0.06367688267851809,0.03946661555678588,0.02502899196155732,0.021435226190774075,0.026633347705852364,0.024450936264298916,0.00200960548155937,0.0012455434943625145,0.08421818364877334,-0.0017628410633131206,0.13902296589524793,0.07423627847268138,0.06292198162067711,0.0389987316312546,0.07037277409255999,0.05759659448079576,0.0871728770177374,0.07058090326443404,0.011297244576013703,0.007001976066942944,180.13585256410255,333.5083333333333
East Surrey Hospital,7.026476578411405,5.682281059063136,9.073319755600814,7.189409368635436,1.229703384523615,0.7621640489358423,0.9164969450101832,0.40733197556008144,1.741344195519348,0.9368635437881874,0.5448038736656857,0.337666734478274,-0.08495193257111994,-0.09306955564217258,-0.07042853126739869,-0.08408719812364168,0.00837953985112564,0.005193597172725772,-0.19325807731548866,-0.3507506732905691,-0.050737400376321316,-0.18661619878509106,0.10701669524470046,0.06632841608631657,-0.39805773589924287,-0.4154841823494003,-0.36727720845204254,-0.39291700635855265,0.017823580999577177,0.011046966961415883,0.02082967113914508,0.018139887472872516,0.022360630188521278,0.02068148805310662,0.001560709870086189,0.0009673202243481172,0.04313145027175927,0.015467334312452846,0.07341922739513729,0.0417949890302033,0.02066996399714393,0.012811141003343948,0.07423968819948548,0.0687205973465479,0.07726310679662493,0.0733134164345381,0.0031537159973068613,0.001954657508430213,188.75301142554588,412.4105158730159
Eastbourne District General Hospital,7.380952380952381,6.059523809523809,9.071428571428571,7.571428571428571,1.218195800276184,0.7550317053854583,0.0,0.0,0.0,0.0,0.0,,-0.09128897829489958,-0.10736331636289217,-0.0739254480249656,-0.09135583468246992,0.011591423986760262,0.00718430700432994,,,,,,,-0.4054332497122658,-0.4318168086862659,-0.3623978803229076,-0.40237527970304,0.025750267097893836,0.015959887627790215,0.02203022645279253,0.01875882594543854,0.024996148833908965,0.02202110936529377,0.0021646841969537854,0.001341660511780144,,,,,,,0.07539376992966923,0.0679251062757396,0.08023691103601992,0.07496211140466201,0.004545500208288531,0.002817278448436586,181.88065364815364,
Epsom Hospital,7.83132530120482,5.542168674698795,11.044176706827304,7.991967871485943,2.1034875367624055,1.3037311257998976,0.8032128514056224,0.4016064257028112,1.4257028112449794,0.8032128514056224,0.4233303427266907,0.2623780434457904,-0.11110561139500424,-0.1234030638278173,-0.07198541854988341,-0.10394567699476547,0.02048999047766273,0.012699594310023127,-0.35427032898452704,-0.6147640092899653,-0.14086055024299615,-0.3624602092793404,0.19663357502526763,0.12187251298494717,-0.4056334416757705,-0.44654367668329026,-0.3555370444125903,-0.4008169151040167,0.0330990139155739,0.020514604399052228,0.02569882283833024,0.01842968945118335,0.027988999991374355,0.024370364960602513,0.003813341363480462,0.002363490033566694,0.07402338249415855,0.03301909557810262,0.12395506178489651,0.07560328465108718,0.03770368135277925,0.023368554402046715,0.07541600889102772,0.06647893200272326,0.08267944679763976,0.07458038892294663,0.005890758133525225,0.0036510626276666236,181.51768036401162,319.8333333333333
Fairfield General Hospital,10.888407367280607,10.606717226435535,12.085590465872155,11.12676056338028,0.5801910786083483,0.3595995483088803,0.37919826652221017,0.15709642470205848,0.7583965330444203,0.4008667388949079,0.22869108268671093,0.14174159698157512,-0.10534773691617377,-0.11288464050924431,-0.09572270894938131,-0.10505032515222149,0.006039964577869064,0.0037435400406587577,-0.440106690290954,-0.5853553376831169,0.03557369520564574,-0.35870665802399104,0.2314176471098866,0.14343150806631777,-0.4246781062019585,-0.4354238277502891,-0.40460479164784463,-0.4216982448599492,0.011120146858597049,0.006892211781455604,0.024619992251449965,0.02282130865282035,0.026008002408251397,0.02456580925747534,0.0011220226985855857,0.0006954240947163043,0.09016601622078974,-0.0012935746525428293,0.1182722079935434,0.07469638375189992,0.044543391221706446,0.02760777260121227,0.07885987222508095,0.07531422952409421,0.08077536730048952,0.07833204110374381,0.0019668608428129106,0.001219050579609804,172.49539317398143,336.465
Frimley Park Hospital,12.790697674418606,10.44186046511628,15.313953488372091,12.767441860465116,1.689317863535413,1.047030819802604,0.9302325581395349,0.313953488372093,1.3953488372093024,0.930232558139535,0.4101940017154404,0.2542362045443587,-0.10326417859091938,-0.1320853302292865,-0.0826628590343538,-0.10459477301903428,0.01835668320372609,0.011377381059258007,-0.38310975327725993,-0.614450399835061,-0.11804615042397398,-0.3878233594337452,0.18749861913194696,0.11621071270194577,-0.4371488347922805,-0.4593653267095206,-0.41341191533357274,-0.43596932499961427,0.01659409175451915,0.010284935635057058,0.02423109131833549,0.02039635511680802,0.029580403490350085,0.02448002812897964,0.003408683460134567,0.002112685075290128,0.07913606500441968,0.028251608676439006,0.12367892408079717,0.08019294819045632,0.03603193926655473,0.02233241696171029,0.08109755690769105,0.0769188814411979,0.08499074639677665,0.08088550583399774,0.0029126344721167358,0.0018052363767369767,170.44482655931586,319.2611111111111
Furness General Hospital,10.287081339712918,7.081339712918661,11.746411483253588,9.952153110047849,1.7295619408900744,1.0719738990267036,0.9569377990430622,0.215311004784689,1.4354066985645932,0.9569377990430622,0.5043505040140955,0.3125939369282382,-0.10243359106512173,-0.12893768361121283,-0.06667757629391062,-0.10080092666856921,0.023104505253164525,0.01432005757976601,-0.5233350619010126,-0.8706407557160565,-0.1598855329760637,-0.5536532522948403,0.2809795623948835,0.1741497369514584,-0.38514389898696477,-0.4593025865697024,-0.33009732848586887,-0.38614216351225444,0.045150776381898086,0.027984226906194565,0.02405426200853663,0.017437990362530402,0.029010810092238583,0.023772378251711277,0.00429671082167234,0.0026630800225217674,0.10632824862120396,0.03672898509600332,0.17135851863494442,0.11149867446394165,0.053284106871991394,0.033025224740045614,0.0718969896511712,0.06199887056715721,0.08496292152405893,0.07204322348885114,0.008025685480620574,0.004974279991727476,187.16093039024514,263.8888888888889
Glan Clwyd District General Hospital,15.112540192926044,13.440514469453376,17.861736334405144,15.434083601286176,1.6254824103004402,1.0074659230026572,0.0,0.0,0.3215434083601286,0.06430868167202572,0.13557460493755108,0.08402846664694764,-0.07750109516178724,-0.09698388365166652,-0.06690535211501761,-0.07992411339598027,0.012997389610537707,0.008055717513538188,,,,,,,-0.38424326248655627,-0.41032057673802635,-0.34738312013570355,-0.3826915896269667,0.023332117535783417,0.014461130541824685,0.01945230814706463,0.017466490367534924,0.023081259999829764,0.019897518341983333,0.002428644822189573,0.0015052619960252908,,,,,,,0.07173854746881986,0.06520070745319022,0.07640661343148622,0.07145716798526147,0.004157720264543104,0.002576934365675826,192.91510143183396,
Gloucestershire Royal Hospital,9.735744089012517,7.809457579972183,10.368567454798331,9.374130737134909,0.9969164621764013,0.617883870879572,0.4172461752433936,0.20166898470097355,0.8344923504867872,0.47287899860917937,0.2556151831634719,0.15842902070634046,-0.09508689106182933,-0.10388123140369704,-0.08986302610593004,-0.09568180333871931,0.005072530777955729,0.003143929377388957,-0.25044476232260116,-0.434744688312417,0.026381307625508284,-0.2263890700335301,0.16347153418277485,0.10131884480968917,-0.40476574745024685,-0.4527840378823793,-0.3520553402169657,-0.4029537530118243,0.035745742533059476,0.022155033648028122,0.022717193207545595,0.021743122648100955,0.02435760868057824,0.022826101225868516,0.0009486510724363408,0.0005879692220864402,0.05408706489996619,0.00048336867444149416,0.08884233491540389,0.04916398194197778,0.03130562624100647,0.019403071627359134,0.07532456373827025,0.06592721872782863,0.0838046882315637,0.074984588505494,0.006343820530968118,0.0039318684509257185,180.27407150167085,389.59166666666664
Grange University Hospital,10.126582278481013,6.89873417721519,15.886075949367086,10.886075949367086,3.333066271414599,2.0658179173646563,0.0,0.0,1.2658227848101267,0.379746835443038,0.6114504956198076,0.3789739796853188,-0.09729488036929723,-0.15162643036389684,-0.030547438926307444,-0.09399055642365234,0.04330818583486224,0.0268421984385704,-0.2213548289343512,-0.37581663069386073,-0.15290275013236787,-0.2532102818815831,0.12687664000204257,0.07863751118876017,-0.40531131088104155,-0.4427078909360749,-0.3205387258394205,-0.3874029368914108,0.04820670040768115,0.029878273436475034,0.023132216625219262,0.010704815682280225,0.033203880236526775,0.022522315252774323,0.008043101246814954,0.0049850741970985345,0.04869620325563967,0.03540781102200043,0.07849084231677263,0.05480962800656327,0.024513578459830924,0.01519339415341131,0.07548495935568383,0.0602912330945354,0.08219450291915747,0.07225615178208293,0.008585341196166283,0.005321151824023568,192.76388583638584,354.6666666666667
Great Western Hospital Swindon,8.959537572254334,7.3554913294797695,11.141618497109826,9.046242774566474,1.4927900322567493,0.9252238462664995,0.1445086705202312,0.0,0.2890173410404624,0.1445086705202312,0.15232551349558665,0.09441059655780605,-0.09464496852746504,-0.12953031960990305,-0.0702540915253654,-0.09830048249298293,0.02055610386818058,0.012740571061034905,-0.15862047245352784,-0.5273341998551581,0.02241741709208915,-0.21381924829353172,0.27290527823195543,0.16914533573786017,-0.38972178862926954,-0.44495246502411884,-0.3437799008415733,-0.3958238280768781,0.039287013454301044,0.02434989577305824,0.02260793321831992,0.01811092385553342,0.029107722902680207,0.023308508959102227,0.003815742294113928,0.002364978118446222,0.036473710100948714,0.0012728477629637418,0.10735042911449602,0.04696660912317294,0.052640718049907755,0.03262645554427789,0.07264744205070775,0.06435732248471261,0.08233060760327622,0.07362828906523149,0.0069917943359962586,0.004333479396345652,183.77512632988163,369.75
Hereford County Hospital,7.532751091703057,6.866812227074236,8.679039301310043,7.641921397379912,0.7278020378457062,0.4510880875579053,0.43668122270742354,0.0982532751091703,0.8951965065502178,0.4585152838427947,0.29919657628958457,0.18544055166681728,-0.07184737901005717,-0.0842765058708515,-0.05268347223993435,-0.06944412498279055,0.01194947139910732,0.00740622301183215,-0.21735182692515892,-0.29135585995170027,0.07099770092504903,-0.14787330833680973,0.14496888331929736,0.08985099372004013,-0.3625040815357722,-0.38039820975446315,-0.3375946634372394,-0.3611792062126825,0.015054244124253581,0.009330545723312489,0.018380086243771607,0.01480363271198038,0.020718647616088014,0.017935494419886955,0.002231846133893937,0.0013832871466556047,0.04779001657491136,-0.008188383077512323,0.062046002903506675,0.034282662791594254,0.028121456409836283,0.017429538983985797,0.06787449022061653,0.06341049580874238,0.07095886449678833,0.06760315351446948,0.0026645560924582422,0.0016514786294024725,203.64341139289195,432.5416666666667
Hull Royal Infirmary,10.330578512396695,9.077134986225895,11.797520661157025,10.46831955922865,0.9975005042424443,0.6182458572507628,1.3085399449035813,0.8884297520661157,1.8044077134986223,1.3360881542699725,0.33770753991613023,0.20930945561181202,-0.10619419595347662,-0.11847975838503372,-0.08913292138910885,-0.10520615912920658,0.010638281525405179,0.006593554041703517,-0.7503045629084721,-0.8867187780618617,-0.47320655171342507,-0.7010879177220902,0.15605732258789398,0.09672355329472715,-0.426989984174435,-0.44237119082391296,-0.39898921641595825,-0.4203243729418557,0.017866957381597937,0.011073851427511716,0.024777116124086822,0.02161510014990802,0.02706128033584242,0.02459731307208869,0.0019746417425067376,0.0012238731425868975,0.14866774025656326,0.09606317906477438,0.1740677209395781,0.13921962034507085,0.0294727921485285,0.01826709016180285,0.07926944013004966,0.0743178014834637,0.08199058565729019,0.07808261384204915,0.003154409701858569,0.001955087463065247,172.3245983811123,220.68313492063493
Invicta Ward Kent and Canterbury Hospital ,13.559322033898304,10.734463276836157,16.497175141242934,13.728813559322035,2.1644964991630298,1.341544177621861,2.824858757062147,0.8192090395480226,4.519774011299435,2.6553672316384187,1.3061047747193748,0.809517251040337,-0.09358014059543907,-0.11934448743149151,-0.06887753443286342,-0.09399241304462327,0.018171786724548507,0.011262783139973143,-0.13143761535016993,-0.4278498848351327,0.07695419309477848,-0.14884866254194673,0.1769893277771669,0.10969710612721179,-0.3902456030772189,-0.4471239425235604,-0.32712884265018993,-0.38845623284611236,0.043224698664758206,0.026790453505278755,0.0224408607570587,0.017836972149698132,0.027217431070612662,0.02251701505218389,0.0033815156124293016,0.0020958465782439997,0.030940070577539593,-0.009349541601027387,0.08811172373099077,0.034310616752249654,0.03417390701731801,0.0211808178037717,0.07282800587761973,0.061317298767191476,0.08281549813959473,0.07241147088420949,0.007733938076979825,0.004793456400263185,185.19858068592222,481.2208333333333
Ipswich Hospital,13.789473684210527,12.515789473684212,15.810526315789474,14.042105263157893,1.301749657153183,0.8068179708077086,0.5263157894736842,0.09473684210526316,1.263157894736842,0.568421052631579,0.4216370213557839,0.2613285312720072,-0.08826287234153006,-0.09441581438732875,-0.07544446010449637,-0.08628707884732328,0.00742042010642409,0.004599139519574538,-0.18758646906984566,-0.49077439164616105,-0.025660774778937225,-0.24259845850122053,0.18855279816400664,0.116864087629176,-0.41530973990522446,-0.4450942627394695,-0.3887457431433757,-0.41672926173129776,0.019759885407889328,0.012247078814717205,0.021438912188769595,0.01904844881999578,0.022581772203287304,0.021070490086952245,0.0013834686192486891,0.00085746697755959,0.04214491466741621,0.010611225520029828,0.10041187717939652,0.05261195929157226,0.03640002289875971,0.022560553368423553,0.07727176426189253,0.07255639865170639,0.0824946805824918,0.07749608565881912,0.003475857366040835,0.0021543191284713326,182.51594215677196,376.5
James Cook University Hospital,14.503205128205128,11.490384615384615,15.705128205128204,14.118589743589746,1.5490531950220778,0.9600954750501938,0.8012820512820513,0.5528846153846154,2.0112179487179485,1.0897435897435896,0.6311562174248687,0.39118748816807136,-0.11033238044672303,-0.12287294905225456,-0.09566915117826862,-0.11023772705535965,0.010420430971933833,0.006458531350877178,-0.38866821703581667,-0.5914886614341311,-0.23613865344858087,-0.3991619484308888,0.1308705351251943,0.08111290754563505,-0.44102276990497613,-0.4701581027068995,-0.41872667886570364,-0.4427731087357144,0.019257809758462537,0.01193589482136137,0.025532689383357378,0.022820266837447423,0.02786394744110021,0.02552428150906867,0.0019333943937569211,0.0011983082407360304,0.08021340095870218,0.05116395280658479,0.11818676188379121,0.08209668793464162,0.024691412935240013,0.01530361507784235,0.08182142858348937,0.07789363501835286,0.08687632356207567,0.08208901520446193,0.0033608505940822954,0.0020830385025300407,163.72204884546065,330.23333333333335
James Paget Hospital,10.61320754716981,8.83254716981132,12.05188679245283,10.566037735849058,1.2015706399083523,0.7447275135782103,0.2358490566037736,0.0,0.49528301886792403,0.2358490566037736,0.19256994833201088,0.11935389734732643,-0.09059513657829872,-0.11580093916433187,-0.07914177572809192,-0.09286045438178664,0.013645641146807774,0.008457500595402179,-0.35416775460685535,-0.9461599495157349,0.0719740070092395,-0.38977438820891375,0.4034888356554713,0.25008037592961274,-0.3998154790580911,-0.4448597147365657,-0.38261364581688034,-0.40755190844192446,0.024309712445424857,0.01506703901042672,0.021866832916261104,0.019750079896018388,0.026558088633752853,0.022290744247794394,0.002532631876576999,0.0015697126557586046,0.07420485651288267,-0.008378630627321694,0.1847061993885835,0.08009859108765938,0.07656973889007562,0.04745754378892626,0.07442047226672115,0.07148078311166159,0.08241202148747742,0.0758676417879201,0.004278311911511534,0.002651676469404285,180.81644155420423,1169.5416666666667
John Radcliffe Hospital,19.66019417475728,17.560679611650485,21.007281553398055,19.441747572815537,1.3846538420839167,0.8582015727850347,3.3980582524271843,2.2936893203883493,5.1456310679611645,3.4466019417475726,1.0902835293154058,0.6757523152731735,-0.11290092715908176,-0.12945936118982954,-0.0970455411273936,-0.11430887931964664,0.012761011307114304,0.007909211415331782,-0.603067875035163,-0.670841214554901,-0.4573301172583503,-0.5896772733788201,0.08102485049398862,0.05021879982939392,-0.44231405808240715,-0.46421916315141637,-0.40235655280677024,-0.4382842487794073,0.023072614071953625,0.014300291584077196,0.026020162334443323,0.023072571282063557,0.029082301440874758,0.026270593793709447,0.0023638822946509784,0.0014651225031773844,0.12113283309622952,0.09346073318915564,0.13375754865035175,0.11848156829222094,0.015376997518757046,0.009530586673885191,0.08196089327526732,0.07494609494241704,0.08579724979346282,0.08124109275610968,0.0040505452463312505,0.0025105078218009697,164.42459508945106,264.0075231809665
King's College Hospital HASU,14.148681055155874,11.462829736211031,15.959232613908872,13.9568345323741,1.6759904212281858,1.0387705372672595,2.038369304556355,0.9352517985611511,3.513189448441246,2.1822541966426856,0.98843117152036,0.6126247298832972,-0.0968917461747735,-0.10807867958883967,-0.08019389271306257,-0.09514888301565018,0.010933966913124937,0.006776818376137278,-0.43899101644470867,-0.6440020337453535,-0.25750677903774577,-0.4557550322449355,0.1573290042308103,0.0975117352596796,-0.42834545556783576,-0.45952463703847235,-0.3988829745273083,-0.4282052553315153,0.023150782939668806,0.014348740259967907,0.02304235067709649,0.019897619159385017,0.025137022352771904,0.022713138036308516,0.002055557561463169,0.0012740243652109504,0.0898519517360768,0.055110675070101936,0.12896072808711584,0.09311903925092964,0.03000880548263806,0.018599308563532965,0.07944599919246513,0.07426537123550866,0.08495575248339389,0.07944048531327703,0.004073059839824166,0.0025244622550022328,176.17353416242167,292.96280677655676
Kings Mill Hospital,12.890625,10.5078125,14.08203125,12.67578125,1.297027946553437,0.8038914780340072,1.46484375,0.869140625,1.8652343749999998,1.38671875,0.36189953410644005,0.22430353343250675,-0.08795519499828774,-0.09215224085526422,-0.07605952903811518,-0.08551550114623876,0.006379551924070915,0.003954014590868166,-0.24998421971070267,-0.37026033833416994,-0.11836432616941145,-0.23716702084095037,0.09267926113412618,0.05744214564858863,-0.38707151398679235,-0.401146229531498,-0.3649824825201112,-0.3846090734533983,0.013823089656096703,0.008567482299949303,0.021391723977916166,0.019160266484751123,0.02216489192937783,0.020933126034053288,0.0011918353390918488,0.000738693622494152,0.05350148641827479,0.02833328925111978,0.07705451950011125,0.051256998414641965,0.017924978646178823,0.011109812719066976,0.07225776190077102,0.0683525463143691,0.07473946801231937,0.07181265605633544,0.002458380287769361,0.0015236918898749036,189.4164751529983,416.5730555555556
Leeds General Infirmary,10.38961038961039,8.64448051948052,12.353896103896103,10.438311688311689,1.351839475937781,0.8378633916594378,2.191558441558442,1.607142857142857,3.011363636363636,2.24025974025974,0.5235232304089967,0.3244770975035325,-0.11499719571330574,-0.12497518241245952,-0.1040756046516576,-0.11508808625889262,0.008508058136489647,0.0052732521675546845,-0.5679814650928459,-0.6613454863412445,-0.4527314162910012,-0.5655762771872513,0.07676465395734883,0.0475783511793435,-0.4395854154013926,-0.45239742767455954,-0.41248071283171756,-0.4344251012573748,0.015540255806237125,0.00963177334944787,0.02640131762034148,0.024385939090478335,0.028255810071941743,0.026425819181075588,0.0015810193660632996,0.0009799079490633404,0.11468270606053005,0.0922814921088881,0.13214067441459673,0.11392016980697586,0.01469988479488015,0.009110915571316075,0.0814636281849202,0.07676243784791034,0.0837600728715277,0.08058375867687563,0.00271961791156166,0.0016856056713524248,163.80135517855547,320.4499969401943
Leicester Royal Infirmary,11.668928086838534,10.19674355495251,12.08955223880597,11.370420624151967,0.7453772618526516,0.4619811240890499,0.7462686567164178,0.6037991858887382,1.0244233378561736,0.7869742198100407,0.16679411048924261,0.10337816109889075,-0.0956977189836794,-0.11282783870523871,-0.07587383820105313,-0.09376789216159359,0.01366666505641998,0.008470531110139443,-0.2818111162266326,-0.6319087162536247,-0.05896174733772383,-0.32624634846397227,0.22020645643378667,0.13648286777905183,-0.42124463855269223,-0.45609706267493316,-0.3921934921410084,-0.4242518388682453,0.022175619338137085,0.013744338704054337,0.022839364655008437,0.019147279129259804,0.026015789942537632,0.02247205148601525,0.002543018257659764,0.0015761500831573232,0.05995211790894781,0.017062060009212947,0.12591793175143823,0.06811004372090548,0.04192751613545442,0.025986466217624002,0.07827603317385329,0.07314887623869167,0.08440493627134309,0.07879494313791846,0.00390588566005392,0.0024208485288510495,177.02688008774084,385.0236904761905
Leighton Hospital,7.3573573573573565,4.51951951951952,8.73873873873874,7.027027027027026,1.6276657957299576,1.0088191744454793,1.5015015015015014,0.9009009009009009,2.267267267267267,1.5315315315315314,0.4790184630232392,0.29689326376396985,-0.07297623526965857,-0.11282170791510561,-0.035049555984687265,-0.06950640761598327,0.030735138635139526,0.01904948624325148,-0.4088081148358629,-0.6581988628671088,-0.09393208764496697,-0.39892064216115786,0.20394423217506522,0.12640362196927357,-0.3064428189284608,-0.3757367786051925,-0.24883132858181084,-0.30826292929199256,0.04829728491680761,0.02993441726523538,0.018567625616610232,0.011450090010096154,0.026004562107217525,0.017910000706646986,0.0057554259680289085,0.0035671844237809905,0.08372922163059185,0.023672388026227467,0.13207257924070834,0.08207988626533794,0.03910905397705981,0.024239597373112626,0.05761042666985585,0.047230736719073574,0.07021420545853771,0.058032502208144085,0.008691281057553471,0.00538681282383438,216.52336195205763,434.85797619047617
